(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49804;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49638;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49805;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49639;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49806;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49640;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49807;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49641;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49808;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49642;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49629;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49629;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49797;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49797;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49630;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49630;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49798;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49798;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49631;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49631;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49799;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49799;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49632;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49632;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49800;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49800;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49633;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49633;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49801;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49801;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49634;FORNECIMENTO DE CONCRETO ESTRUTURALAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49634;FORNECIMENTO DE CONCRETO ESTRUTURALLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49614;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49614;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 10 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48313 ;m3    ;1,0500000;368,80;387,24;
Serviço: ED-49614;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49782;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49782;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 10 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48313 ;m3    ;1,0500000;368,80;387,24;
Serviço: ED-49782;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49615;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49615;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 13,5 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48314 ;m3    ;1,0500000;384,19;403,39;
Serviço: ED-49615;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49783;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49783;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 13,5 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48314 ;m3    ;1,0500000;384,19;403,39;
Serviço: ED-49783;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49616;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49616;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48315 ;m3    ;1,0500000;390,10;409,60;
Serviço: ED-49616;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49784;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49784;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "A", COM FCK 15 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-8485 ;m3    ;1,0500000;383,58;402,75;
Serviço: ED-49784;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49617;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49617;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 18 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48316 ;m3    ;1,0500000;402,29;422,40;
Serviço: ED-49617;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49785;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49785;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 18 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48316 ;m3    ;1,0500000;402,29;422,40;
Serviço: ED-49785;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49613;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49613;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 9 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48312 ;m3    ;1,0500000;364,37;382,58;
Serviço: ED-49613;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49781;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49781;FORNECIMENTO DE CONCRETO NÃOCONCRETO NÃO ESTRUTURAL, PREPARADO EM OBRA COM BETONEIRA , CONTROLE "B", COM FCK 9 MPA, BRITA Nº (1 E 2), CONSISTÊNCIA PARA VIBRAÇÃO (FABRICAÇÃO) ;ED-48312 ;m3    ;1,0500000;364,37;382,58;
Serviço: ED-49781;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49625;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49625;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49793;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49793;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49627;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM ESTRUTURA, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8506 ;m3    ;1,0000000;34,06;34,06;
Serviço: ED-49627;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM ESTRUTURA, INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8504 ;m3    ;1,0000000;71,34;71,34;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-49795;FORNECIMENTO DE CONCRETO NÃOAPLICAÇÃO DE CONCRETO EM FUNDAÇÃO, INCLUSIVE ESPALHAMENTO, ADENSAMENTO E ACABAMENTO ;ED-8505 ;m3    ;1,0000000;22,70;22,70;
Serviço: ED-49795;FORNECIMENTO DE CONCRETO NÃOLANÇAMENTO DE CONCRETO EM FUNDAÇÃO , INCLUSIVE TRANSPORTE ATÉ O LOCAL DE APLICAÇÃO, EXCLUSIVE APLICAÇÃO ;ED-8503 ;m3    ;1,0000000;56,05;56,05;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-20603;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( FABRICAÇÃO) ;ED-20558 ;Kg    ;1,0000000;3,10;3,10;
Serviço: ED-20603;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( TRANSPORTE E MONTAGEM) ;ED-20559 ;Kg    ;1,0000000;6,03;6,03;
Serviço: ED-20603;FORNECIMENTO DE ESTRUTURA METÁLICA EPINTURA ANTICORROSIVA A BASE DE ÓXIDO DE FERRO (ZARCÃO) EM ESQUADRIA E SUPERFÍCIE METÁLICA, UMA (1) DEMÃO ;ED-50532 ;m2    ;0,0340781;9,89;0,33;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-20574;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( FABRICAÇÃO) ;ED-20558 ;Kg    ;13,8697311;3,10;42,99;
Serviço: ED-20574;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( TRANSPORTE E MONTAGEM) ;ED-20559 ;Kg    ;13,8697311;6,03;83,63;
Serviço: ED-20574;FORNECIMENTO DE ESTRUTURA METÁLICA EFORNECIMENTO DE ESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO SOBRE LAJE PARA TELHAS CERÂMICAS EM AÇO PATINÁVEL, COBERTURA PADRÃO DO PRÉDIO ESCOLAR, EXCLUSIVE FABRICAÇÃO, TRANSPORTE, MONTAGEM E PINTURA ;ED-20547 ;Kg    ;13,8697311;13,65;189,32;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-20575;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( FABRICAÇÃO) ;ED-20558 ;Kg    ;13,8697312;3,10;42,99;
Serviço: ED-20575;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( TRANSPORTE E MONTAGEM) ;ED-20559 ;Kg    ;13,8697312;6,03;83,63;
Serviço: ED-20575;FORNECIMENTO DE ESTRUTURA METÁLICA EFORNECIMENTO DE ESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO SOBRE LAJE PARA TELHAS CERÂMICAS EM AÇO, COBERTURA PADRÃO DO PRÉDIO ESCOLAR, EXCLUSIVE FABRICAÇÃO, TRANSPORTE, MONTAGEM E PINTURA ;ED-20609 ;Kg    ;13,8697312;12,19;169,07;
Serviço: ED-20575;FORNECIMENTO DE ESTRUTURA METÁLICA EPINTURA ESMALTE EM ESTRUTURA METÁLICA, DUAS (2) DEMÃOS, INCLUSIVE UMA (1) DEMÃO FUNDO ANTICORROSIVO ;ED-50497 ;m2    ;0,6341956;28,97;18,37;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
Serviço: ED-20602;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( FABRICAÇÃO) ;ED-20558 ;Kg    ;13,8697312;3,10;42,99;
Serviço: ED-20602;FORNECIMENTO DE ESTRUTURA METÁLICA EESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO PARA TELHADO, EXCLUSIVE PINTURA ( TRANSPORTE E MONTAGEM) ;ED-20559 ;Kg    ;13,8697312;6,03;83,63;
Serviço: ED-20602;FORNECIMENTO DE ESTRUTURA METÁLICA EFORNECIMENTO DE ESTRUTURA METÁLICA E ENGRADAMENTO METÁLICO SOBRE LAJE PARA TELHAS CERÂMICAS EM AÇO, COBERTURA PADRÃO DO PRÉDIO ESCOLAR, EXCLUSIVE FABRICAÇÃO, TRANSPORTE, MONTAGEM E PINTURA ;ED-20609 ;Kg    ;13,8697312;12,19;169,07;
Serviço: ED-20602;FORNECIMENTO DE ESTRUTURA METÁLICA EPINTURA ANTICORROSIVA A BASE DE ÓXIDO DE FERRO (ZARCÃO) EM ESQUADRIA E SUPERFÍCIE METÁLICA, UMA (1) DEMÃO ;ED-50532 ;m2    ;0,6341956;9,89;6,27;
(G)Serviços;Código;Unid.;Consumo;Custo Unitário;Custo Unitário;
